beta channel, neutron ToF, beta_time (s)
3, 195.077,  7.3741
3, 180.329, 7.37916
2, 225.290, 7.38946
3, 201.695, 7.39025
3, 259.193, 7.39241
3, 458.398, 7.39552
3, 218.916, 7.42245
3, 128.057, 7.42676
2, 187.861, 7.45594
2, 326.423, 7.47475
2, 209.022, 7.49146
3, 198.758, 7.49258
2, 147.372, 7.49273
2, 207.521,   7.493
2, 142.396, 7.49472
3, 204.045, 7.49475
3, 180.400, 7.53542
2, 291.635, 7.57347
3, 227.424, 7.60016
3, 201.503,  7.6137
3, 140.976, 7.61907
3, 307.534, 7.64066
2, 230.107, 7.70472
3, 230.107, 7.70472
3, 228.871, 7.70652
3, 252.248, 7.70679
3, 179.591, 7.70801
3, 177.935, 7.70801
2, 215.943, 7.71487
2, 148.573, 7.73386
3, 148.573, 7.73386
3, 139.349, 7.74055
2, 465.348, 7.74391
3, 465.348, 7.74391
2, 200.207, 7.76528
3, 189.540, 7.77001
3, 138.750, 7.77201
2, 267.675, 7.79659
3, 267.675, 7.79659
3, 250.703, 7.81494
2, 186.602, 7.82199
2, 178.489, 7.83966
2, 168.869, 7.84061
3, 239.289, 7.84067
2, 175.944,  7.8414
2, 142.114,  7.8446
2, 243.998, 7.85751
3, 213.658, 7.87506
2, 203.722, 7.88686
3, 171.349, 7.91062, 7.91062
3, 176.915, 7.94334
3, 120.685,  7.9526
3, 159.764, 7.97046
3, 235.699, 7.98473
2, 193.340, 8.01397
2, 430.190, 8.01709
3, 430.190, 8.01709
2, 248.828, 8.01911
2, 176.991, 8.03906
3, 233.895, 8.10648
2, 314.852, 8.11833
2, 318.751, 8.11833
3, 314.852, 8.11833
3, 318.751, 8.11833
3, 189.853, 8.13505
3, 211.270, 8.18002
3, 117.820, 8.18282
2, 192.175, 8.21729
2, 131.867, 8.23099
3, 182.700, 8.23905
3, 224.837, 8.26064
3, 205.378, 8.31234
2, 150.850, 8.32597
3, 142.883, 8.34011
3, 185.889, 8.35932
3, 185.940, 8.39345
3, 144.412, 8.40584
3, 126.316, 8.40584
2, 197.263,  8.4222
2, 188.995,  8.4827
3, 191.428, 8.49688
3, 144.534, 8.51186
3, 201.580, 8.52154
2, 124.011, 8.56765
2, 169.612, 8.58601
2, 345.651, 8.61936
2, 137.116, 8.66931
2, 202.677, 8.67206
2, 120.507, 8.73534
3, 118.766, 8.73849
3, 187.306, 8.75923
3, 143.266,  8.7757
2, 230.565, 8.81868
3, 194.870, 8.83698
3, 188.842, 8.89852
3, 223.661, 8.94786
3, 195.750, 8.96537
2, 381.967,  8.9705
2, 381.695,  8.9705
3, 183.573, 9.02532
2, 396.336,  9.0552
3, 169.812, 9.09013
2, 197.609, 9.20326
2, 138.370,  9.2228
3, 299.758, 9.26248
2, 168.375, 9.27953
3, 225.095, 9.28398
3, 175.358, 9.29943
3, 172.370, 9.29943
2, 118.846, 9.32951
3, 146.939, 9.38278
3, 192.304, 9.46157
2, 130.268, 9.51323
2, 129.512, 9.51323
3, 272.820, 9.53305
3, 181.510, 9.54393
2, 437.768, 9.56761
2, 425.044, 9.56761
2, 177.837, 9.58189
3, 179.531, 9.62454
2, 217.967, 9.62904
2, 139.788, 9.63156
2, 115.051,  9.8143
2, 168.606, 9.87007
2, 179.315,  9.9305
3, 179.315,  9.9305
2, 185.672, 9.94224
2, 121.724, 9.99907
2, 120.995, 9.99907
2, 143.332,  10.011
3, 251.353, 10.0127
2, 173.598,  10.122
3, 178.662, 10.1353
2, 233.677,   10.16
3, 143.112, 10.3302
3, 140.348, 10.4313
2, 140.062, 10.4563
2, 478.650, 10.5171
3, 478.650, 10.5171
3, 186.967, 10.5559
2, 587.968,  10.638
3, 200.694, 10.6536
2, 317.388, 10.6978
2, 115.068, 10.7594
2, 244.310, 10.7728
2, 116.646, 10.7845
2, 114.101, 10.7845
2, 116.754, 10.7845
3, 197.744, 10.9531
3, 115.965, 10.9931
2, 112.054, 11.0111
2, 192.364, 11.0136
2, 174.669,  11.017
2, 202.172, 11.0355
2, 139.373, 11.1031
2, 137.866, 11.1672
2, 141.441, 11.1672
3, 482.703, 11.2049
2, 117.503, 11.2186
2, 152.926, 11.2208
3, 247.422, 11.2851
3, 144.349, 11.3621
3, 220.660, 11.4582
2, 163.235, 11.4598
3, 144.370, 11.5175
3, 168.287, 11.5882
2, 461.819,  11.709
2, 115.204, 11.7536
2, 406.410, 11.7739
2, 183.290, 11.8068
2, 212.120, 11.9954
2, 593.388, 11.9954
2, 103.725, 11.9954
2, 100.558, 11.9954
2, 542.346, 11.9954
2, 533.487, 11.9954
2, 253.219, 11.9954
2, 208.265, 11.9954
2, 541.773, 11.9954
2, 139.035, 11.9954
2, 671.543, 11.9954
2, 228.199, 11.9954
2, 161.171, 11.9954
2, 691.836, 11.9954
2, 826.789, 11.9954
2, 385.119, 11.9954
2, 474.202, 11.9954
2, 445.293, 11.9954
2, 455.847, 11.9954
2, 500.142, 11.9954
2, 210.974, 11.9954
2, 237.115, 12.0275
2, 400.942, 12.0323
3, 210.025,  12.051
2, 179.504, 12.0699
2, 297.355, 12.0913
3, 176.458, 12.0917
3, 191.723, 12.0965
2, 121.477, 12.0968
3, 247.173, 12.1039
3, 173.238, 12.1106
3, 195.656, 12.1159
2, 254.681, 12.1236
3, 195.054, 12.1274
2, 285.895, 12.1288
3, 329.931, 12.1301
2, 193.125, 12.1411
2, 245.469, 12.1428
3, 286.045, 12.1522
2, 117.522,   12.16
3, 168.883, 12.1609
2, 142.334, 12.1649
2, 227.323, 12.1675
2, 275.870,  12.177
3, 186.036, 12.1871
2, 140.685, 12.1892
3, 481.332, 12.1965
2, 220.664, 12.2005
3, 197.626, 12.2143
3, 181.937, 12.2144
3, 207.942,  12.216
3,  88.421, 12.2179
3, 370.074, 12.2204
2, 120.810, 12.2237
3, 189.980, 12.2309
3, 208.612, 12.2418
2, 176.187, 12.2517
3, 205.149, 12.2545
2, 734.433, 12.2644
3, 734.433, 12.2644
3, 449.550, 12.2699
3, 144.198, 12.2808
3, 174.877, 12.2873
3, 106.967, 12.2876
3, 208.126, 12.2885
3, 606.366, 12.2892
3, 539.898,  12.292
2, 182.458, 12.2923
2, 611.819,  12.293
3, 119.688, 12.3004
2, 195.946, 12.3086
2, 223.327, 12.3172
2, 222.337, 12.3172
3, 195.218, 12.3173
3, 183.508, 12.3173
3, 227.513, 12.3203
3, 224.498, 12.3265
