beta channel, neutron ToF, beta_time (s)
3, 196.555, 26.0978
3, 226.773, 26.0992
3, 228.203, 26.1019
2, 231.625, 26.1028
2, 2468.980, 26.1038
2, 2471.000, 26.1038
3, 2468.980, 26.1038
3, 2471.000, 26.1038
3, 173.070, 26.1057
3, 253.773, 26.1076
2, 394.852,  26.116
3, 394.852,  26.116
3, 621.906,  26.131
2, 202.547, 26.1355, 26.1355
2, 188.648, 26.1381
2, 467.727, 26.1392
3, 233.219, 26.1415
3, 226.672, 26.1434
3, 200.492, 26.1437
2, 187.094, 26.1487
2, 237.844, 26.1513
3, 533.609, 26.1645
2, 184.023, 26.1738
2, 190.047, 26.1744
3, 218.781, 26.1745
3, 247.852, 26.1792
3, 158.312, 26.1865
3, 141.742, 26.1865
2, 300.500, 26.1899
2, 202.539, 26.1918
2, 290.750, 26.1928
2, 211.523, 26.1928
2, 203.180, 26.2062
3, 640.055, 26.2093
2, 186.609, 26.2154
3, 342.664, 26.2157
3, 119.430, 26.2252
2, 209.820, 26.2412
2, 200.570, 26.2412
3, 207.398, 26.2469
2, 250.500,  26.255
2, 226.875,  26.258
3, 252.883, 26.2588
3, 630.281, 26.2598
2, 198.812, 26.2614
2, 208.758, 26.2622
2, 112.359, 26.2634
3, 372.836, 26.2666
3, 169.531, 26.2667
2, 321.164, 26.2766
3, 274.844, 26.2778
3, 216.586, 26.2802
2, 196.250, 26.2861
3, 372.695, 26.2878
2, 252.805, 26.2934
2, 193.797, 26.3018
3, 202.703, 26.3153
2, 137.953, 26.3159
2,  10.609, 26.3183
3,  10.609, 26.3183
2, 313.234, 26.3199
2, 296.883, 26.3267
3, 203.516, 26.3277
2, 198.766, 26.3281
3, 201.219, 26.3281
3, 199.094, 26.3315
3, 219.812, 26.3459
3, 323.117, 26.3507
2, 139.172, 26.3564
3, 224.586, 26.3686
3, 262.094, 26.3717
2, 200.188, 26.3721
2, 118.742,  26.376
2, 119.258,  26.376
3, 481.383, 26.3881
3, 206.578, 26.3895
2, 642.281, 26.3908
2, 266.477, 26.3951
3, 205.828, 26.3955
3, 396.594, 26.4058
3, 204.516, 26.4168
2, 562.898, 26.4258
3, 192.891, 26.4294
2, 299.375, 26.4304
3, 197.281, 26.4306
3, 200.594, 26.4332
3, 170.867, 26.4388
2, 151.992, 26.4403
2, 151.102, 26.4403
2, 294.273, 26.4442
3, 122.859, 26.4454
3, 239.758, 26.4494
3, 200.977, 26.4534
2, 238.305, 26.4545
3, 209.086, 26.4564
3, 213.125, 26.4564
2, 262.016, 26.4652
3, 262.016, 26.4652
3, 141.562, 26.4755
3, 198.867, 26.4852
3, 188.016, 26.5001
2, 591.547, 26.5084
3, 146.305, 26.5088
3, 240.930, 26.5132
3, 234.977, 26.5154
2, 221.711, 26.5224
3, 263.641, 26.5343
3, 208.414, 26.5352
3, 193.609,  26.541
2, 356.094, 26.5497
3, 178.133, 26.5543
3, 274.094, 26.5633
2, 200.891, 26.5748
2, 204.469, 26.5748
2, 521.555, 26.5774
3, 190.617,  26.578
3, 518.930, 26.5782
3, 195.297, 26.5885
2, -296.273, 26.5889
3, -296.273, 26.5889
3, 143.812,  26.594
2, 183.367, 26.5959
3, 206.328, 26.6002
2, 212.898, 26.6125
2, 213.719, 26.6125
3, 143.156, 26.6162
3, 118.078, 26.6357
2, 171.172, 26.6381
3, 309.023, 26.6408
3, 193.703,  26.642
3, 229.891,  26.642
2, 503.219, 26.6434
2, 201.844, 26.6441
3, 119.938, 26.6507
3, 239.938, 26.6558
3, 163.305, 26.6624
3, 118.883, 26.6624
3, 212.719, 26.6688
3, 191.852, 26.6801
3, 244.664,  26.706
2, 201.188, 26.7208
2, 302.188, 26.7216
3, 127.383, 26.7233
2, 118.547, 26.7251
3, 235.344, 26.7264
3, 202.305, 26.7351
3, 223.562, 26.7569
3, 214.133, 26.7569
2, 200.484, 26.7612
2, 208.609, 26.7697
3, 213.953, 26.7897
3, 223.219, 26.7959
3, 116.562, 26.8087
3, 325.820, 26.8163
2, 211.008, 26.8166
2, 430.539,  26.823
3, 430.539,  26.823
2, 264.742, 26.8343
2, 217.461, 26.8474
2, 169.383, 26.8608
3, 140.930,  26.866
3, 173.094,  26.883
2, 179.531, 26.8862
2, 142.156, 26.8866
2, 194.203, 26.8934
3, 225.883, 26.8947
2, 230.664, 26.8993
2, 236.898, 26.9011
3, 260.484, 26.9106
2, 149.180, 26.9113
3, 265.969, 26.9282
3, 108.062, 26.9372
3, 239.680, 26.9411
3, 134.531, 26.9424
3, 139.445, 26.9468
3, 218.555, 26.9468
2, 244.992,  26.949
3, 151.141, 26.9545
3, 198.812, 26.9627
2, 198.859, 26.9673
3, 121.703, 26.9732
3, 202.414, 26.9743
2, 247.492,  26.987
2, 241.023, 26.9907
2, 229.641, 26.9936
3, 229.641, 26.9936
2, 173.070,  27.011
2, 218.320, 27.0143
2, 275.703, 27.0333
2, 204.281, 27.0333
2, 562.992, 27.0378
2, 197.188, 27.0408
3, 200.062, 27.0419
3, 190.477, 27.0457
3, 279.055, 27.0496
2, 252.492, 27.0641
2, 201.031, 27.0705
3, 205.977, 27.0731
3, 248.227, 27.0746
2, 139.070, 27.0939
2, 204.695, 27.0972
2, 208.047, 27.1061
2, 214.992, 27.1079
3, 240.820, 27.1137
3, 217.016,  27.128
3, 378.414, 27.1304
2, 200.461, 27.1511
3, 288.758, 27.1515
2, 217.289, 27.1571
3, 250.266, 27.1652
2, 305.266, 27.1758
3, 306.422, 27.1943
3, 154.461, 27.2205
3, 193.656,  27.222
2, 269.148, 27.2221
3, 151.914, 27.2258
2, 143.156, 27.2286
2, 206.430, 27.2445
3, 245.969, 27.2489
3, 491.750, 27.2498
3, 182.008, 27.2575
3, 179.039, 27.2575
3, 305.781, 27.2813
3, 246.336, 27.2839
2, 288.047, 27.2906
3, 196.992, 27.2971
2, 221.578, 27.2996
2, 197.461, 27.3022
2, 163.578, 27.3188
2, 157.031, 27.3188
3, 175.109, 27.3236
3, 256.344, 27.3804
3, 265.211, 27.3831
2, 259.109, 27.3916
2, 266.016, 27.3916
3, 259.109, 27.3916
3, 266.016, 27.3916
3, 155.977, 27.4174
2, 190.922, 27.4326
2, 212.312, 27.4359
3, 139.922, 27.4405
2, 208.133,  27.449
2, 222.906, 27.4703
2, 463.375, 27.4826
3, 150.008, 27.4973
3, 190.094, 27.5018
2, 203.844, 27.5121
2, 526.789, 27.5144
2, 203.352, 27.5169
3, 289.477, 27.5361
2, 253.906,  27.542
2, 201.359, 27.5656
2, 195.297, 27.5656
2, 188.375, 27.5665
2, 194.898, 27.5803
2, 222.102, 27.5823
2, 180.742, 27.5874
2, 245.375, 27.5966
3, 234.242, 27.6082
2, 180.828, 27.6083
2, 183.742, 27.6083
3, 180.828, 27.6083
3, 183.742, 27.6083
3, 255.547, 27.6135
3, 199.414,  27.616
3, 256.000, 27.6239
2, 162.633, 27.6288
2, 241.609, 27.6313
3, 206.125, 27.6368
2, 115.469, 27.6528
3, 237.750, 27.6568
3, 210.766,  27.659
3, 171.023, 27.6618
2, 334.383, 27.6945
2, 336.844, 27.6945
3, 334.383, 27.6945
3, 336.844, 27.6945
3, 140.742, 27.7012
3, 145.602, 27.7012
3, 281.211, 27.7149
3, 140.094, 27.7194
3, 218.500, 27.7347
3, 214.016, 27.7347
2, 175.891,  27.737
2, 190.016, 27.7399
