beta channel, neutron ToF, beta_time (s)
2, 235.181, 5.85968
3, 313.638, 5.86332
3, 305.776, 5.86332
3, 204.350, 5.86901
3, 176.474, 5.87765
3, 248.178, 5.88598
2, 118.813, 5.88604
2, 101.656, 5.88768
3, 184.601,  5.8907
2, 178.389, 5.89245
2, 176.462, 5.89245
3, 122.500, 5.90541
2, 175.388, 5.90859
2, 171.117, 5.91009
2, 184.771, 5.91103
3, 108.714, 5.91175
3, 237.532, 5.92248
3, 418.230, 5.92456
3, 172.296, 5.92683
2, 170.508, 5.92955
3, 170.508, 5.92955
2, 323.305,  5.9332
3, 323.305,  5.9332
3, 179.794, 5.93535
3, 376.846, 5.93711
2, 280.133,  5.9374
2, 193.918, 5.94059
2, 190.870, 5.94171
2, 194.796, 5.94171
2, 184.154, 5.94296
3,  84.642, 5.94592
3, 284.248, 5.95701
3, 121.277, 5.96239
3, 252.494,  5.9724
3, 233.311, 5.97392
3, 195.785, 5.97749
3, 1118.882, 5.97749
3, 342.542, 5.97998
3, 283.212, 5.98006
2, 202.211, 5.98609
3, 240.378, 5.98631
2, 159.778, 5.98953
3, 164.345, 5.99826
2, 270.231, 6.00947
2, 176.745,  6.0115
3, 139.535, 6.01233
3, 209.156, 6.01254
2, 116.631, 6.01272
2, 148.164, 6.02218
3, 179.692,  6.0238
3, 147.372, 6.02847
2, 258.446, 6.03337
3, 183.452, 6.03566
2, 187.007, 6.03981
2, 331.564, 6.05719
3, 190.714, 6.05845
3, 347.379, 6.06111
2, 219.898,  6.0627
2, 180.092,  6.0638
3, 327.838,  6.0905
2, 182.185, 6.10083
3, 284.399, 6.12406
2, 171.458, 6.12566
3, 174.581, 6.12788
3, 180.807, 6.13113
3, 188.728, 6.13168
3, 178.846, 6.16777
3, 178.211, 6.16831
2, 120.860,  6.1689
3, 245.178, 6.18057
3, 209.610, 6.18118
3, 122.508, 6.18225
3, 187.090, 6.18542
3, 440.795, 6.20503
3, 213.792, 6.20535
3, 180.888, 6.21132
2, 213.084, 6.21232
3, 190.452,  6.2128
3, 170.922,  6.2207
2, 232.222, 6.22301
3, 192.159, 6.22524
3, 269.132, 6.23218
2, 119.025,  6.2348
2, 159.126, 6.24533
2, 172.814, 6.24951
2, 177.720, 6.24951
3, 172.814, 6.24951
3, 177.720, 6.24951
2, 242.144, 6.25005
3, 201.834,  6.2507
3, 183.290, 6.26683
3, 156.268, 6.27594
3, 170.831, 6.29073
3, 184.089, 6.29073
2, 159.049,  6.2933
3, 123.273, 6.29508
3, 170.644, 6.29537
3, 168.936, 6.29537
2, 489.776, 6.29568
2, 492.642, 6.29568
3, 178.085,  6.2989
3, 151.110, 6.32791
3, 190.379, 6.33875
3, 207.127, 6.34415
3, 204.353,  6.3455
2, 221.051, 6.34666
2, 263.407,  6.3552
3, 240.007, 6.35941
2, 283.829, 6.37517
3, 121.271, 6.38055
2, 264.104, 6.38447
3, 201.077, 6.38915
2, 191.401, 6.40266
3, 445.930, 6.40339
2, 160.780, 6.40567
3, 182.042, 6.42059
3, 222.724, 6.42242
3,  93.116,  6.4225
2, 210.388, 6.42417
3, 565.323, 6.42513
3, 165.205, 6.42979
3, 175.024, 6.43389
3, 233.733, 6.43722
3, 582.116, 6.43753
3, 160.525, 6.44867
3, 207.771,  6.4588
3, 242.179, 6.46871
3, 357.165, 6.47309
3, 179.373, 6.47695
2, 157.121, 6.48242
3, 236.949, 6.48401
3, 227.293, 6.49523
2, 369.969, 6.49763
2, 169.439, 6.50727
2, 315.474, 6.51273
3, 219.856, 6.52008
3, 183.690, 6.52303
2, 181.163, 6.52856
2, 512.517, 6.53551
2, 101.174, 6.53594
2, 215.628, 6.54266
3, 181.087, 6.55758
3, 240.598,  6.5628
2, 205.422,  6.5647
2, 119.389, 6.57108
3, 375.279, 6.57251
2, 185.121, 6.58897
3, 194.907, 6.59372
3, 279.797, 6.59711
2, 377.678, 6.61332
2, 117.100, 6.61333
2,  96.688, 6.61361
3, 403.090, 6.61607
3, 584.008, 6.61629
3, 221.373, 6.62221
3, 208.383, 6.63363
3, 185.048, 6.63527
3, 152.317, 6.63631
3, 112.944, 6.63727
3, 206.526, 6.64002
2, 306.935, 6.65079
3, 208.726,  6.6522
2, 169.591, 6.65916
2, 171.378, 6.65916
3, 182.512, 6.66504
3, 186.990, 6.66535
2, 119.820, 6.67905
3, 122.000, 6.68186
2, 163.975, 6.68751
3, 215.838, 6.69216
3, 498.914,  6.6943
3, 229.644, 6.69433
2, 243.979, 6.70918
3, 462.276, 6.72216
3, 187.301,   6.727
3, 194.559, 6.74078
2,  97.601, 6.74939
3, 176.243, 6.74974
3, 137.159, 6.75203
3, 194.372, 6.75641
3, 268.693, 6.75753
2, 133.140, 6.76126
3, 133.140, 6.76126
3, 219.289, 6.76564
3, 417.353, 6.78206
3, 175.013, 6.78621
3, 175.329, 6.79735
2, 116.713, 6.81981
3, 405.628, 6.82242
3, 101.946, 6.82531
3, 182.290, 6.82555
3, 168.437, 6.82555
3, 153.598, 6.83028
2, 315.389, 6.83365
3, 121.132, 6.84382
3, 245.887,  6.8666
2, 215.537,  6.8852
3, 188.675, 6.88706
2, 123.121, 6.89115
3, 156.937, 6.90886
2, 219.005, 6.90897
3, 386.931, 6.92896
3, 271.115, 6.93725
2, 120.143, 6.93809
2, 125.840,  6.9435
2, 194.431, 6.94353
2, 245.526, 6.94632
3, 118.002, 6.95314
2, 209.511, 6.96097
2, 187.003, 6.96225
2, 244.561, 6.96445
3, 208.307, 6.96594
3, 135.239, 6.96975
3, 212.726, 6.97798
2, 119.061, 6.98658
2, 114.491, 6.98658
2, 121.608, 6.98658
2, 537.690, 6.99372
2, 246.421, 7.01314
3, 195.837, 7.01435
3, 418.667, 7.01661
2, 172.069, 7.03704
3, 172.069, 7.03704
3, 200.184,  7.0419
2, 168.065, 7.04848
3, 211.541, 7.05146
2, 120.436, 7.07086
2, 122.633, 7.07086
2, 293.881, 7.09152
3, 188.551, 7.09361
2, 233.532,  7.1039
3, 161.950, 7.12352
2, 176.214, 7.13238
3, 213.058, 7.13676
2, 157.628, 7.13777
3, 170.754,  7.1412
2, 468.655, 7.14136
3, 177.898, 7.15453
2, 198.251, 7.18297
3, 168.960,  7.2024
3, 507.804, 7.21525
3, 181.879, 7.21585
3, 233.925, 7.22243
3, 179.533, 7.22608
2, 495.381, 7.22622
2, 126.733, 7.23043
2, 124.089, 7.23043
3, 215.739, 7.24136
2, 119.769, 7.27791
3, 232.223, 7.28054
2, 156.060, 7.28508
2, 219.825, 7.29803
2, 163.606, 7.30921
2, 152.494, 7.31638
3, 256.881, 7.32699
2, 277.085, 7.33427
3, 574.104, 7.33723
3, 182.068, 7.34571
2, 161.805, 7.34673
3, 182.258, 7.35138
3, 123.636, 7.35552
3, 123.457, 7.35552
2, 697.211, 7.39149
3, 697.211, 7.39149
3, 251.169, 7.39367
3, 384.181,  7.4049
2, 193.226, 7.40645
2, 200.171, 7.40645
2, 620.787, 7.41274
2, 100.203, 7.41583
3, 100.203, 7.41583
2, 171.617, 7.42123
3, 219.366, 7.44898
3, 161.591, 7.46646
2, 221.650, 7.48141
2, 106.587, 7.49214
3, 181.958, 7.49824
2, 193.938, 7.50056
3, 266.634, 7.50956
3, 263.305, 7.51334
3, 286.383, 7.51867
2, 228.769, 7.58034
2, 204.423,  7.5842
3, 176.667, 7.58796
3, 187.499, 7.61191
2, 176.668,  7.6256
3, 167.656, 7.64054
2, 283.192, 7.64156
3,  99.882, 7.68189
3, 176.323, 7.68331
3, 102.041, 7.69167
3, 249.656, 7.70357
2, 182.286, 7.70871
2, 122.118,  7.7142
2, 175.665,  7.7212
3, 176.205, 7.72785
3, 208.141, 7.73581
2, 154.403, 7.74501
3, 212.583, 7.76763
2, 122.176, 7.77506
2, 139.117,  7.7843
3, 201.333, 7.80874
2, 186.854, 7.80947
2, 168.820, 7.80947
2, 245.847, 7.81107
3, 223.061, 7.82552
2, 114.439, 7.82697, 7.82698
2, 1606.730, 7.82697, 7.82698
2, 212.254, 7.83338
3, 173.365, 7.83565
3, 240.221, 7.85218
2, 187.046, 7.85376
3, 187.046, 7.85376
3, 282.623, 7.90453
3, 125.188, 7.90571
3, 166.387, 7.92089
3, 248.987, 7.92493
3,  99.364, 7.92703
3, 267.935, 7.93528
2, 124.088, 7.95006
3, 121.261, 8.04312
3, 491.369, 8.05716
3, 498.229, 8.05716
2, 176.870, 8.06042
2, 168.727, 8.08933
2, 253.540, 8.09418
2, 247.574, 8.09509
2, 252.086, 8.09509
3, 247.574, 8.09509
3, 252.086, 8.09509
2, 157.799, 8.10056
2, 217.316,  8.1011
3, 154.823, 8.11135
2, 484.170, 8.11155
2, 118.891, 8.12471
3, 126.437, 8.13019
3, 151.136, 8.13678
2, 228.194, 8.15694
3, 178.605, 8.15904
3, 299.414, 8.17578
2, 119.060, 8.21606
3, 260.142, 8.23483
3, 141.071, 8.35018
3, 131.057, 8.35018
2, 154.161, 8.35325
2, 187.593, 8.37216
3, 261.007, 8.38586
3, 241.212, 8.38586
2, 492.655, 8.38666
3, 153.148,  8.4034
3, 232.359, 8.44539
3, 198.365, 8.45381
2, 168.756,  8.4646
2, 161.249,  8.4646
2, 188.526, 8.47989
2, 228.645, 8.49263
2, 117.401, 8.51143
2, 200.522, 8.51617
2, 122.674, 8.53552
2, 117.736, 8.53552
2, 218.769, 8.53573
3, 185.154, 8.57809
3, 317.921,  8.5816
2, 122.136, 8.59393
